Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,85.91549295774648,89.88074014822234,-3.965247190475864,71,89.27373606045538,-0.5000752204589247,89.28927054069126
1.0,90.58823529411765,89.3642652683886,1.2239700257290451,85,89.41768133049305,-0.3288694899674568,89.28933642147882
2.0,86.45833333333334,89.20258157459449,-2.744248241261147,96,89.56162660053073,-0.15766375947598887,89.2892781941737
3.0,96.29629629629629,90.41283677565985,5.8834595206364355,108,89.7055718705684,0.013541971015479048,89.28941689917848
4.0,85.26315789473684,89.5240495195636,-4.260891624826769,95,89.8495171406061,0.18474770150694697,89.28926134344805
5.0,84.25925925925925,89.48558824321043,-5.226328983951177,108,89.99346241064377,0.3559534319984149,89.28924718952558
6.0,90.81632653061224,89.54416152266192,1.2721650079503206,98,90.13740768068145,0.5271591624898828,89.28933963732709
7.0,91.25,89.644903873762,1.6050961262379957,80,90.28135295071912,0.6983648929813508,89.28934575167015
8.0,90.5511811023622,90.30708606009392,0.2440950422682704,127,90.4252982207568,0.8695706234728187,89.28933589905341
9.0,90.625,89.67831665382569,0.9466833461743107,64,90.56924349079448,1.0407763539642865,89.28933693982279
10.0,88.33333333333333,90.16628865361639,-1.8329553202830624,60,90.71318876083215,1.2119820844557545,89.28930462971579
11.0,89.70588235294117,88.58652181778108,1.119360535160098,68,90.85713403086983,1.3831878149472225,89.28932398122373
12.0,93.10344827586206,88.91902907952276,4.184419196339306,29,91.00107930090752,1.5543935454386903,89.28937188335543
13.0,92.85714285714286,88.31524850010896,4.541894357033897,28,91.1450245709452,1.7255992759301582,89.28936841070623
14.0,100.0,89.03695773342534,10.96304226657466,23,91.28896984098287,1.8968050064216264,89.28946911753322
15.0,90.47619047619048,88.132045051926,2.3441454242644824,21,91.43291511102055,2.0680107369130942,89.28933484176389
16.0,100.0,89.49091647764999,10.50908352235001,13,91.57686038105822,2.239216467404562,89.28946911753322
17.0,90.0,90.23676060892481,-0.23676060892481132,20,91.7208056510959,2.41042219789603,89.28932812797542
18.0,85.71428571428571,90.44940552819672,-4.735119813911012,7,91.86475092113358,2.5816279283874977,89.28926770387923
19.0,100.0,88.1527717102125,11.847228289787495,5,92.00869619117127,2.752833658878966,89.28946911753322
20.0,90.9090909090909,89.19010078450798,1.7189901245829304,11,92.15264146120894,2.9240393893704337,89.28934094520795
21.0,87.5,88.9457413557341,-1.4457413557341,8,92.29658673124662,3.0952451198619015,89.28929288058598
22.0,100.0,88.6408762734593,11.359123726540702,5,92.4405320012843,3.26645085035337,89.28946911753322
23.0,100.0,88.85936353468358,11.140636465316419,4,92.58447727132197,3.4376565808448376,89.28946911753322
24.0,75.0,87.46803069053708,-12.468030690537077,4,92.72842254135965,3.6088623113363054,89.28911664363874
26.0,100.0,95.18072289156626,4.819277108433738,2,93.01631308143502,3.951273772319241,89.28946911753322
27.0,85.71428571428571,88.73899566124491,-3.024709946959206,7,93.16025835147269,4.122479502810709,89.28926770387923
29.0,100.0,90.01604755067734,9.983952449322658,2,93.44814889154804,4.464890963793645,89.28946911753322
30.0,100.0,87.46803069053708,12.531969309462923,1,93.59209416158572,4.636096694285113,89.28946911753322
31.0,100.0,90.71729957805907,9.28270042194093,2,93.7360394316234,4.807302424776581,89.28946911753322
32.0,75.0,90.77752210245852,-15.77752210245852,4,93.87998470166107,4.978508155268049,89.28911664363874
33.0,100.0,87.46803069053708,12.531969309462923,2,94.02392997169875,5.149713885759517,89.28946911753322
35.0,77.77777777777779,88.19009044331975,-10.412312665541961,9,94.31182051177412,5.492125346742452,89.28915580740478
38.0,100.0,87.46803069053708,12.531969309462923,2,94.74365632188714,6.0057425382168566,89.28946911753322
41.0,100.0,87.46803069053708,12.531969309462923,1,95.17549213200019,6.51935972969126,89.28946911753322
