Minute,Minute_Average_FT%,Season_Average_FT%,Difference
0,70.25472473294988,72.82267135999132,-2.5679466270414366
1,70.5675833820948,73.63720673863557,-3.069623356540774
2,71.85808779314492,73.18343443452552,-1.3253466413806052
3,74.95750708215297,73.51053502260258,1.44697205955039
4,74.17218543046357,74.58422509371887,-0.4120396632552996
5,75.14677103718199,74.60784685875394,0.5389241784280472
6,76.12231620039037,75.82925822526035,0.29305797513002574
7,74.78323699421965,75.68045860585401,-0.8972216116343645
8,75.6043956043956,75.44074893108787,0.1636466733077384
9,77.00787401574803,75.49995487570433,1.5079191400436969
10,75.18382352941177,76.16866331752874,-0.9848397881169717
11,75.42908762420957,76.50502559816,-1.0759379739504311
12,75.0,75.23499868091125,-0.23499868091124654
13,74.78260869565217,75.94100850612404,-1.1583998104718631
14,74.21875,75.12548033929059,-0.9067303392905899
15,74.2296918767507,75.11977300406708,-0.8900811273163782
16,75.70093457943925,76.29061221062501,-0.589677631185765
17,80.55555555555556,76.53613936133749,4.019416194218067
18,75.37688442211056,75.02582357232507,0.35106084978549745
19,70.80745341614907,74.29272359796555,-3.4852701818164746
20,76.42276422764228,76.83786095224943,-0.4150967246071531
21,77.90697674418605,76.3089039711614,1.5980727730246542
22,67.94871794871796,72.34851200550966,-4.3997940567917055
23,75.70093457943925,73.66968893943871,2.0312456400005345
24,71.73913043478261,77.87898566537598,-6.139855230593369
25,61.53846153846154,70.14966628432828,-8.611204745866736
26,73.68421052631578,77.40830100826547,-3.7240904819496876
27,82.97872340425532,77.92782035831715,5.0509030459381705
28,70.37037037037037,74.60793593285081,-4.237565562480441
29,66.66666666666666,74.33890194983965,-7.672235283172995
30,70.58823529411765,74.46964051579208,-3.8814052216744273
31,87.2340425531915,75.43009254031966,11.803950012871837
32,60.86956521739131,72.79819822289403,-11.928633005502718
33,83.63636363636363,75.7055765472642,7.930787089099425
34,81.63265306122449,73.89646397506681,7.73618908615768
35,79.03225806451613,74.92568710301397,4.1065709615021575
36,65.0,71.4447880868496,-6.444788086849599
37,60.0,77.20252735587474,-17.202527355874736
38,67.44186046511628,73.43950933451451,-5.997648869398233
39,94.44444444444444,75.75222096676768,18.692223477676762
40,75.86206896551724,70.58961007076047,5.272458894756767
41,88.23529411764706,71.54897494269821,16.68631917494885
42,84.0,67.81872508789053,16.181274912109473
43,74.07407407407408,70.71395612200136,3.360117952072713
44,61.904761904761905,67.62184592812079,-5.717084023358886
45,58.620689655172406,74.75081245827471,-16.130122803102303
46,77.14285714285715,73.05812897638103,4.0847281664761255
47,87.8048780487805,84.45331716614585,3.3515608826346437
52,75.0,76.21701162734597,-1.2170116273459683
