Minute_FT%,Yearly_FT%,Regression_Predicted
71.05287959694118,73.52508899263748,75.82565853552781
73.06070952080574,74.51168635486977,76.03903116757016
74.42221765117658,74.91229008740336,76.18371900684946
75.4796721713874,75.19987859391604,76.29609498628908
75.67923684667925,75.59431395601537,76.31730277860434
76.09887904658838,75.98997325667453,76.36189826931121
76.71023425419467,76.38251986392815,76.42686715348276
77.15316641216819,76.68821693145952,76.47393767436688
77.51633336372224,76.96214923127987,76.51253152507249
77.95750922794227,77.2706767382394,76.55941540414179
78.3932467075152,77.62595766274687,76.60572134459566
78.66526094743159,78.04574250039231,76.63462837184638
77.54852857230917,77.22673601369769,76.51595291864457
77.0311886737315,77.2229492700981,76.46097506693113
77.43627047492058,77.04575853011964,76.50402322010628
77.28972262244245,77.50310397517352,76.48844953996945
78.17078162847228,77.46090838637258,76.58207992014596
77.75904005353617,77.72444037301398,76.53832403100357
78.52611320320992,77.87804291319722,76.61984110322643
78.15510619814594,77.8938844897295,76.58041408790221
75.92762165894409,77.69465171978223,76.34369870015246
80.01233532361353,78.00157664557776,76.77778233214273
78.40325369402309,76.89961182311954,76.60678478977327
81.20868791427847,77.35903436637436,76.90491904730312
77.1587764345785,77.1987271414587,76.47453385297408
74.5290247005524,77.20732765398166,76.19506942103301
76.60849583860997,77.41993678101788,76.41605538439062
79.07002651120253,77.46940596334494,76.6776429183851
79.58557149573777,76.70583308455161,76.73243002409512
77.32648093919629,77.8822884925174,76.49235585628738
76.30492044153014,77.41188667487083,76.38379434438502
76.76909099736379,78.65108334503955,76.43312187558556
74.1304075472775,77.60791933706145,76.15270826774977
80.51910033696664,77.17225237896386,76.8316363879275
75.02899670106557,77.00190850519125,76.2482015814959
78.337685808214,76.6972660450626,76.59981687271703
70.79504525477067,75.63402510547121,75.79825840986679
70.89190852275134,74.75030047343122,75.80855209569725
71.43104002960185,74.22200476346758,75.86584574754812
75.30510654204957,75.34410140697813,76.27754384938588
72.25773038046178,75.50365877623162,75.95369835595406
74.38890794104417,73.09500542372113,76.18017917489504
72.27554197436551,72.97204530185977,75.9555911988821
72.9950798656681,73.28417283583885,76.03205668627056
67.31322182160744,75.71991604877859,75.42824408673586
69.59921364525039,71.84843510830419,75.67117705951433
70.39181525687785,73.65179273002731,75.75540704833153
74.88485190996923,77.36552959008365,76.23288327534564
100.0,75.94085216036436,78.90187689298673
100.0,78.66795493560218,78.90187689298673
50.0,72.64849803836906,73.58836329538919
88.88888888888887,81.41483545411428,77.7210960935206
71.66666666666667,80.58095159718835,75.89088585434811
100.0,74.64788732394366,78.90187689298673
75.0,75.57095561416307,76.24512009418795
