Minute,Minute_Average_FT%,Season_Average_FT%,Difference
0,77.05627705627705,77.26094220954255,-0.20466515326549484
1,73.52941176470588,78.47245467111142,-4.9430429064055375
2,74.21052631578947,78.11479159939026,-3.904265283600793
3,80.65395095367847,79.00607922640619,1.647871727272289
4,74.48275862068967,78.61549238913868,-4.132733768449015
5,79.42122186495176,78.75570161569559,0.6655202492561756
6,80.3088803088803,77.34948194140462,2.9593983674756856
7,73.66071428571429,79.24758162332684,-5.586867337612546
8,75.75757575757575,77.08233681725144,-1.3247610596756942
9,79.64071856287424,78.20015343943629,1.440565123437949
10,73.4375,80.17794040372215,-6.740440403722147
11,80.92105263157895,80.15819541455762,0.7628572170213204
12,78.94736842105263,78.88192598088999,0.06544244016264145
13,80.0,79.42024492458539,0.5797550754146101
14,78.57142857142857,80.46570597225245,-1.8942774008238814
15,93.33333333333333,82.72821308140199,10.60512025193134
16,91.66666666666666,82.09886273087403,9.567803935792625
17,83.33333333333334,85.67890642691475,-2.3455730935814074
18,100.0,79.6788990825688,20.321100917431195
19,50.0,76.42962339575006,-26.429623395750056
20,100.0,85.4389721627409,14.561027837259104
21,100.0,80.0,20.0
22,100.0,80.29978586723769,19.700214132762312
23,100.0,84.11910669975185,15.880893300248147
25,100.0,84.11910669975185,15.880893300248147
28,50.0,80.29978586723769,-30.299785867237688
29,100.0,82.16579504974312,17.834204950256876
31,75.0,82.82572778123765,-7.825727781237646
32,100.0,83.96946564885496,16.030534351145036
33,100.0,80.2124833997344,19.787516600265604
35,50.0,80.29978586723769,-30.299785867237688
39,66.66666666666666,84.55906185408153,-17.892395187414877
44,100.0,83.83269978808049,16.16730021191951
