Minute,Minute_Average_FT%,Season_Average_FT%,Difference
0,74.45008460236888,74.29305038587452,0.15703421649435256
1,75.74585635359115,74.86941486838613,0.8764414852050209
2,78.2391195597799,75.26834119980742,2.9707783599724706
3,78.97614314115307,76.10453774867425,2.871605392478827
4,79.19105907397552,75.25043694610815,3.940622127867371
5,78.67052023121387,75.87283734902006,2.7976828821938113
6,80.7738814993954,76.69382695668115,4.080054542714251
7,79.56204379562044,76.67522892783207,2.886814867788374
8,79.9090909090909,77.14433938169135,2.7647515273995538
9,80.52763819095478,77.68479709560604,2.8428410953487315
10,81.2043795620438,79.02269730283169,2.18168225921211
11,86.26262626262627,79.2949433946975,6.967682867928772
12,77.77777777777779,78.69162010444072,-0.9138423266629303
13,79.14893617021276,77.61352297054457,1.5354131996681986
14,80.64516129032258,77.27743063113971,3.367730659182868
15,83.69098712446352,78.90704618479371,4.7839409396698045
16,82.14285714285714,80.17030228519351,1.9725548576636243
17,82.37885462555066,80.13416565805555,2.244688967495108
18,79.83193277310924,80.7953068119631,-0.963374038853857
19,83.78378378378379,81.38465528822111,2.399128495562678
20,75.86206896551724,77.73931367128249,-1.87724470576525
21,90.0,69.8070646738178,20.192935326182194
22,76.92307692307693,67.05649441063296,9.86658251244397
23,92.3076923076923,75.60219230309951,16.705500004592793
24,100.0,80.70253156257564,19.297468437424357
25,82.35294117647058,78.74127367472796,3.611667501742616
26,81.25,80.4499412419132,0.8000587580868057
27,66.66666666666666,76.83794466403162,-10.171277997364967
28,90.0,79.83818942362306,10.161810576376936
29,70.0,74.74263350760143,-4.742633507601425
30,58.333333333333336,78.14359390382644,-19.810260570493107
31,60.0,82.27290967434533,-22.27290967434533
32,61.53846153846154,75.40674045777611,-13.86827891931457
33,50.0,71.54150197628458,-21.54150197628458
35,60.0,84.61432725350251,-24.61432725350251
36,50.0,76.13973313565604,-26.139733135656044
37,46.666666666666664,77.88152397457668,-31.214857307910016
38,66.66666666666666,75.23118112664518,-8.564514459978525
39,75.0,55.23878473264976,19.761215267350238
40,66.66666666666666,73.46906414739809,-6.802397480731429
41,75.0,61.49326457370737,13.506735426292629
42,57.14285714285714,71.20057413021735,-14.057716987360209
43,66.66666666666666,67.98477657507549,-1.3181099084088288
44,73.68421052631578,76.5462705957775,-2.8620600694617195
45,40.0,55.482743556138054,-15.482743556138054
46,100.0,62.3570227249177,37.6429772750823
47,66.66666666666666,75.67803555803107,-9.011368891364413
