Minute,Difference
0,-3.158669693071076
1,-1.7794732983861081
2,-1.0594369658424085
3,1.3578731827664114
4,-1.1749431399765626
5,0.7884955546304155
6,0.061034172984676616
7,0.4353519089228115
8,-0.5267876090236996
9,0.08433458614024403
10,0.05367901332434144
11,-0.14627041724874346
12,-1.1054303327521637
13,-2.1499245698282436
14,-2.6895592773674935
15,1.7550640288945374
16,-0.7697313087147251
17,-1.9431761302158748
18,2.8060952821326453
19,1.3939334205385592
20,1.063759792913558
21,0.8595265092106104
22,7.370922721129304
23,-0.8896117736755969
24,-5.132107424007415
25,-4.666809398450454
26,1.7537978382472375
27,-3.8067505844765464
28,-5.0815905248268365
29,-1.2351522553426975
30,-0.8658803334024299
31,8.603956979880351
32,-0.9728889916948447
33,11.415242236513322
34,-2.5555531877863586
35,-16.42631458367442
36,-9.010458243722027
37,-4.738609370373609
38,5.561780080548104
39,15.594267907411705
40,-28.635036613304933
41,-8.10247536981933
42,16.531363726955462
43,-14.058160022491634
44,-22.655821948086412
45,13.263344423546783
46,16.786006606532013
47,7.620139659014541
48,21.951219512195124
49,24.285714285714292
51,-16.71064204045736
