Minute,Difference
0,-4.630348318765726
1,0.48034264333904275
2,-0.6436899741481028
3,-0.12744008902765813
4,0.2918746893832065
5,0.8703671352209312
6,-0.004776559770164113
7,0.41765982695032733
8,1.1960873292098455
9,-2.3453380197579605
10,1.3837115885401943
11,-1.6390289882439504
12,0.9418045218216093
13,0.2536207491112634
14,-1.3009303502353333
15,-0.851950030055491
16,-1.0317454294574162
17,4.642064263787674
18,-0.6132683030896828
19,10.040861942641158
20,2.1203343900097593
21,-4.659252808439717
22,0.953649183869004
23,4.7612481608391874
24,8.136282566493449
25,1.0452410977629398
26,7.138230600659796
27,1.0725326954226517
28,5.955053041186218
29,2.571125834997929
30,-0.5313123045922623
31,4.870424106835813
32,12.028336952117435
33,-23.029832036288283
34,15.968801206003803
36,-13.237110665205435
37,-0.14176787201496666
38,0.028317297214172754
39,-2.8614566167487823
40,10.823170731707322
41,-23.318911330729946
42,-4.900357138778915
43,-1.6741949100651397
44,2.7918497911738456
45,-6.422126813297588
46,-10.221013186214307
47,1.706583461008961
