Minute,Difference
0,-3.002024865556635
1,-0.9085379812443932
2,-0.866931048541872
3,1.2557140907856734
4,-0.2481147948626301
5,-0.13550533262609576
6,1.0973126956863553
7,0.5968343503511164
8,0.7150214907869241
9,1.7598802751918612
10,2.7362167990609407
11,2.060980867527064
12,-0.6501705946425886
13,-0.580769716040777
14,0.7010672432086835
15,-2.5913790608267107
16,-1.6550163925527386
17,3.420048266600446
18,-8.31269398790785
19,-5.59753524240368
20,-1.0868435463055732
21,4.011478760274031
22,-13.215606206622105
23,21.94567680871485
24,-2.133120703319406
25,-21.485641867063244
26,11.182713788311176
27,-15.909573449853099
28,-8.724010418414679
29,11.946705392109052
30,-6.169272934853083
31,7.400790134781573
32,-72.46376811594203
33,23.482233856109943
34,0.04491334672063374
35,30.769230769230774
36,-13.377044097769591
37,7.788620251490059
38,-2.4018665796834284
39,-22.5087278963382
41,23.65182579445451
42,9.078947368421055
43,-4.072983546667757
44,7.494923284423265
45,9.509196307560359
46,-16.12044610437549
47,-14.398439829000552
