Minute,Difference
0.0,-2.4722093956962965
1.0,-1.4509768340640221
2.0,-0.4900724362267823
3.0,0.27979357747136646
4.0,0.0849228906638757
5.0,0.10890578991384814
6.0,0.3277143902665216
7.0,0.46494948070866826
8.0,0.5541841324423729
9.0,0.6868324897028657
10.0,0.7672890447683329
11.0,0.6195184470392832
12.0,0.3217925586114774
13.0,-0.19176059636659204
14.0,0.39051194480093443
15.0,-0.21338135273106218
16.0,0.7098732420997038
17.0,0.034599680522191534
18.0,0.6480702900126971
19.0,0.26122170841644277
20.0,-1.7670300608381382
21.0,2.0107586780357707
22.0,1.5036418709035502
23.0,3.8496535479041114
24.0,-0.03995070688020519
25.0,-2.6783029534292666
26.0,-0.8114409424079128
27.0,1.600620547857588
28.0,2.8797384111861533
29.0,-0.5558075533211166
30.0,-1.1069662333406853
31.0,-1.8819923476757623
32.0,-3.4775117897839465
33.0,3.3468479580027832
34.0,-1.9729118041256868
35.0,1.6404197631513995
36.0,-4.8389798507005395
37.0,-3.858391950679888
38.0,-2.790964733865735
39.0,-0.03899486492855431
40.0,-3.2459283957698375
41.0,1.2939025173230334
42.0,-0.6965033274942556
43.0,-0.2890929701707421
44.0,-8.406694227171144
45.0,-2.2492214630538
46.0,-3.259977473149462
47.0,-2.4806776801144252
48.0,24.059147839635642
49.0,21.332045064397818
50.0,-22.648498038369056
51.0,7.474053434774589
52.0,-8.914284930521674
54.0,25.352112676056336
56.0,-0.5709556141630685
