Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,48.854961832061065,51.139022889420836,-2.2840610573597715,131,49.43698434788072,-3.109802207979748,52.917075054479724
1.0,55.23255813953488,52.068952942073885,3.1636051974609956,172,49.59449946250651,-2.967064641096418,52.86245176830827
2.0,55.434782608695656,51.885531670668996,3.5492509380266597,184,49.7520145771323,-2.824327074213088,52.860719741927596
3.0,55.97826086956522,51.39625628365584,4.582004585909381,184,49.909529691758095,-2.6815895073297575,52.856064921029535
4.0,51.041666666666664,52.34363854984222,-1.301971883175554,192,50.06704480638388,-2.5388519404464276,52.89834621085361
5.0,55.88235294117647,51.58391704621232,4.29843589496415,204,50.22455992100968,-2.3961143735630976,52.85688636001154
6.0,50.0,52.235623307923206,-2.2356233079232055,158,50.38207503563547,-2.2533768066797677,52.907267950908235
7.0,51.973684210526315,52.73182476610495,-0.7581405555786347,152,50.53959015026126,-2.1106392397964377,52.89036360133105
8.0,54.32098765432099,52.769883516887724,1.5511041374332635,162,50.69710526488705,-1.9679016729131076,52.8702592514224
9.0,47.199999999999996,51.71528515309935,-4.515285153099356,125,50.854620379512845,-1.8251641060297776,52.931249588175056
10.0,46.53465346534654,53.61409622061431,-7.07944275526777,101,51.01213549413863,-1.6824265391464475,52.93694819505034
11.0,57.54716981132076,52.257339970195936,5.289829841124821,106,51.16965060876443,-1.5396889722631175,52.84262741919173
12.0,53.84615384615385,52.82399988442499,1.0221539617288542,39,51.327165723390216,-1.3969514053797876,52.874326141475784
13.0,53.333333333333336,52.41186231462572,0.9214710187076136,45,51.48468083801601,-1.2542138384964574,52.87871838273344
14.0,60.0,52.83808004314946,7.161919956850539,45,51.6421959526418,-1.1114762716131275,52.82161924638386
15.0,51.02040816326531,53.82607315254,-2.805664989274689,49,51.799711067267594,-0.9687387047297973,52.89852828718126
16.0,42.857142857142854,53.353520112264505,-10.49637725512165,28,51.95722618189339,-0.8260011378464673,52.96844559699707
17.0,47.22222222222222,52.03738475887225,-4.815162536650028,36,52.11474129651918,-0.6832635709631374,52.931059257720555
18.0,56.666666666666664,53.81604427937029,2.850622387296376,30,52.27225641114497,-0.5405260040798074,52.85016881455865
19.0,52.17391304347826,54.10996611211852,-1.9360530686402626,23,52.42977152577076,-0.39778843719647705,52.88864866731598
20.0,61.111111111111114,55.2622679215654,5.848843189545711,18,52.587286640396556,-0.2550508703131471,52.81210272365893
21.0,16.666666666666664,51.272955324486325,-34.60628865781966,6,52.744801755022344,-0.11231330342981716,53.19276363265613
22.0,61.904761904761905,51.96015479187,9.944607112891902,21,52.90231686964814,0.03042426345351279,52.80530520742684
23.0,38.88888888888889,52.5274521629294,-13.638563274040507,18,53.05983198427393,0.17316183033684274,53.00243317815753
24.0,100.0,52.42718446601942,47.57281553398058,1,53.21734709889972,0.3158993972201727,52.47902442828638
25.0,44.44444444444444,55.164234514334424,-10.719790069889982,9,53.37486221352551,0.4586369641035031,52.95485056453288
26.0,25.0,57.31704050887178,-32.31704050887178,4,53.532377328151306,0.601374530986833,53.121389712219155
27.0,50.0,52.236781296163336,-2.236781296163336,4,53.689892442777094,0.744112097870163,52.907267950908235
28.0,30.0,56.33906930030131,-26.33906930030131,10,53.84740755740289,0.8868496647534929,53.078565359956976
29.0,42.857142857142854,54.70482364537356,-11.847680788230704,7,54.00492267202868,1.0295872316368233,52.96844559699707
30.0,50.0,52.42718446601942,-2.427184466019419,2,54.16243778665447,1.1723247985201533,52.907267950908235
31.0,60.0,53.97602312189112,6.023976878108883,10,54.31995290128026,1.3150623654034832,52.82161924638386
32.0,28.57142857142857,52.27150790796962,-23.70007933654105,7,54.477468015906055,1.4577999322868131,53.09080088917474
33.0,66.66666666666666,55.32384319247145,11.342823474195207,6,54.63498313053185,1.600537499170143,52.76452011003428
34.0,83.33333333333334,52.06393916390321,31.269394169430136,6,54.79249824515764,1.743275066053473,52.62177226916033
35.0,58.333333333333336,52.15475048943225,6.178582843901083,12,54.95001335978343,1.886012632936803,52.83589403047126
36.0,50.0,52.42718446601942,-2.427184466019419,2,55.10752847440922,2.028750199820133,52.907267950908235
37.0,0.0,52.42718446601942,-52.42718446601942,1,55.26504358903502,2.171487766703463,53.33551147353008
38.0,33.33333333333333,52.42718446601942,-19.09385113268609,6,55.422558703660805,2.3142253335867937,53.05001579178218
40.0,100.0,52.42718446601942,47.57281553398058,4,55.73758893291239,2.5997004673534536,52.47902442828638
41.0,100.0,52.42718446601942,47.57281553398058,4,55.89510404753818,2.7424380342367836,52.47902442828638
42.0,90.0,52.31821087538456,37.68178912461544,10,56.05261916216397,2.8851756011201135,52.56467313281075
43.0,50.0,52.42718446601942,-2.427184466019419,2,56.210134276789766,3.0279131680034435,52.907267950908235
44.0,50.0,52.42718446601942,-2.427184466019419,2,56.367649391415554,3.1706507348867734,52.907267950908235
45.0,0.0,52.42718446601942,-52.42718446601942,2,56.52516450604135,3.3133883017701034,53.33551147353008
46.0,100.0,52.42718446601942,47.57281553398058,2,56.682679620667145,3.4561258686534333,52.47902442828638
