Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,0.0,40.0,-40.0,2,61.404806592568704,-6.7864419989221805,48.80240087054722
1.0,75.0,72.89351851851852,2.106481481481481,16,63.28673494823896,-5.44740815588257,72.05665859055692
2.0,75.0,74.79369720597789,0.2063027940221076,12,65.16866330390921,-4.10837431284296,72.05665859055692
3.0,61.53846153846154,77.55885440095966,-16.02039286249812,13,67.05059165957947,-2.7693404698033506,67.88281746132441
4.0,100.0,66.94444444444444,33.05555555555556,4,68.93252001524972,-1.4303066267637403,79.80807783056017
5.0,62.5,74.76851851851852,-12.268518518518519,8,70.81444837091998,-0.09127278372413006,68.1809489705553
6.0,80.0,73.14814814814815,6.851851851851848,10,72.69637672659023,1.2477610593154793,73.60694243855757
7.0,80.0,75.92592592592592,4.074074074074076,5,74.57830508226048,2.5867949023550896,73.60694243855757
9.0,100.0,80.0,20.0,3,78.342161793601,5.26486258843431,79.80807783056017
14.0,75.0,77.43664717348928,-2.436647173489277,4,87.75180357195227,11.96003180363236,72.05665859055692
15.0,100.0,78.94736842105263,21.05263157894737,1,89.63373192762252,13.299065646671972,79.80807783056017
17.0,100.0,78.94736842105263,21.05263157894737,2,93.39758863896303,15.977133332751189,79.80807783056017
29.0,100.0,75.92592592592592,24.074074074074076,2,115.98072890700607,32.04553944922651,79.80807783056017
