Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,84.0,88.05241544294046,-4.0524154429404575,25,87.47172223464253,-0.3542255009968447,88.08374975972018
1.0,83.33333333333334,87.64220553650682,-4.308872203173479,48,87.64853414924875,-0.2041818168801354,88.06739487409905
2.0,87.93103448275862,87.78077034406947,0.15026413868915256,58,87.82534606385497,-0.054138132763426106,88.18018718872744
3.0,87.93103448275862,87.64668370839466,0.2843507743639577,58,88.00215797846117,0.09590555135328316,88.18018718872744
4.0,87.6923076923077,88.75719044090326,-1.064882748595565,65,88.17896989306739,0.24594923546999248,88.17433066469867
5.0,92.40506329113924,88.1261682204083,4.27889507073094,79,88.35578180767361,0.3959929195867018,88.28994553286742
6.0,88.0,88.15161716052664,-0.15161716052664076,50,88.53259372227983,0.546036603703411,88.18187907344688
7.0,90.41095890410958,87.27020524157051,3.140753662539069,73,88.70940563688603,0.6960802878201204,88.24102550911776
8.0,85.18518518518519,88.2212359696863,-3.036050784501114,54,88.88621755149225,0.8461239719368296,88.11282511193549
9.0,87.87878787878788,87.6553944477842,0.2233934310036716,33,89.06302946609847,0.9961676560535389,88.1789054578794
10.0,92.85714285714286,88.16014939198043,4.696993465162436,28,89.23984138070469,1.1462113401702483,88.30103609725788
11.0,93.33333333333333,88.23522474499435,5.098108588338974,30,89.4166532953109,1.2962550242869575,88.31271815841582
12.0,85.71428571428571,88.38250681646598,-2.6682211021802686,14,89.59346520991711,1.4462987084036667,88.12580517988876
13.0,100.0,88.65396420645038,11.346035793549618,3,89.77027712452333,1.5963423925203761,88.476267014627
14.0,88.23529411764706,88.24277581466261,-0.007481697015549571,17,89.94708903912955,1.7463860766370856,88.18765138601904
15.0,75.0,87.18809403795913,-12.188094037959132,8,90.12390095373576,1.8964297607537948,87.86295880383508
16.0,90.9090909090909,86.63911479864518,4.269976110445725,11,90.30071286834198,2.0464734448705038,88.2532458470663
17.0,100.0,88.78205128205127,11.21794871794873,8,90.4775247829482,2.196517128987213,88.476267014627
18.0,84.61538461538461,87.83536020573844,-3.219975590353826,13,90.65433669755441,2.346560813103922,88.09884657721659
19.0,100.0,89.20143415906128,10.798565840938721,5,90.83114861216062,2.4966044972206323,88.476267014627
20.0,83.33333333333334,88.40777319938981,-5.074439866056466,6,91.00796052676684,2.6466481813373415,88.06739487409905
21.0,100.0,88.78205128205127,11.21794871794873,2,91.18477244137306,2.7966918654540507,88.476267014627
22.0,100.0,88.78205128205127,11.21794871794873,2,91.36158435597928,2.94673554957076,88.476267014627
23.0,100.0,88.78205128205127,11.21794871794873,3,91.53839627058548,3.096779233687469,88.476267014627
24.0,100.0,88.78205128205127,11.21794871794873,1,91.7152081851917,3.2468229178041783,88.476267014627
25.0,100.0,88.78205128205127,11.21794871794873,5,91.89202009979792,3.3968666019208875,88.476267014627
26.0,66.66666666666666,88.27968612378895,-21.61301945712229,3,92.06883201440414,3.5469102860375967,87.65852273357112
28.0,100.0,88.55149454596969,11.448505454030311,5,92.42245584361656,3.846997654271016,88.476267014627
29.0,60.0,88.33890746934225,-28.338907469342246,5,92.59926775822278,3.9970413383877252,87.49497387735994
32.0,100.0,88.78205128205127,11.21794871794873,2,93.12970350204142,4.447172390737853,88.476267014627
34.0,100.0,88.39779005524862,11.60220994475138,4,93.48332733125386,4.747259758971271,88.476267014627
