Minute,FT_Percentage,Baseline,Difference,Attempts,FT_Trend,Difference_Trend,Regression_Line
0.0,81.03448275862068,87.57593212637435,-6.541449367753671,58,86.90504377103693,-2.0249139080870022,86.90491811472175
1.0,86.66666666666667,88.64539237816875,-1.9787257115020793,105,86.68762062968767,-2.0841999306515797,87.18845767279463
2.0,87.5,88.59222657709572,-1.0922265770957154,128,86.47019748833843,-2.1434859532161576,87.23040995434623
3.0,91.05691056910568,88.33858362180844,2.7183269472972427,123,86.25277434698917,-2.202771975780735,87.409474570725
4.0,86.3013698630137,88.1311791270869,-1.8298092640731909,146,86.03535120563993,-2.2620579983453126,87.17006763156652
5.0,85.59322033898306,88.3565168655099,-2.763296526526844,118,85.81792806429067,-2.3213440209098906,87.13441744571121
6.0,84.82142857142857,88.39670634460718,-3.5752777731786125,112,85.60050492294143,-2.380630043474468,87.09556333507322
7.0,84.03361344537815,88.27391553460303,-4.240302089224883,119,85.38308178159217,-2.4399160660390455,87.05590256469881
8.0,92.03539823008849,88.98001695571169,3.055381274376799,113,85.16565864024292,-2.4992020886036235,87.45873431854298
9.0,86.41975308641975,87.97918207144596,-1.5594289850262157,81,84.94823549889367,-2.558488111168201,87.1760273671497
10.0,90.56603773584906,86.30854415556352,4.257493580285541,53,84.73081235754442,-2.6177741337327785,87.38476268835683
11.0,82.05128205128204,87.5525241633803,-5.501242112098254,39,84.51338921619516,-2.6770601562973564,86.95610657497039
12.0,72.72727272727273,85.5248438873782,-12.797571160105463,22,84.29596607484592,-2.736346178861934,86.48671041774969
13.0,77.77777777777779,87.32572444121193,-9.547946663434146,18,84.07854293349666,-2.7956322014265114,86.74096666957757
14.0,85.71428571428571,87.18791193136029,-1.4736262170745817,14,83.86111979214742,-2.8549182239910893,87.14051220816422
15.0,91.66666666666666,90.01215621207342,1.654510454593236,12,83.64369665079816,-2.914204246555667,87.44017136210422
16.0,72.72727272727273,85.42529203052523,-12.698019303252494,11,83.42627350944892,-2.9734902691202443,86.48671041774969
17.0,85.71428571428571,85.43905788631662,0.27522782796908984,14,83.20885036809966,-3.032776291684822,87.14051220816422
18.0,100.0,86.93884975925327,13.061150240746727,3,82.99142722675042,-3.0920623142493997,87.85969417762021
19.0,100.0,85.12335625527808,14.876643744721918,3,82.77400408540116,-3.151348336813977,87.85969417762021
21.0,100.0,84.2750724263333,15.724927573666704,6,82.33915780270266,-3.2699203819431326,87.85969417762021
22.0,0.0,81.75895765472313,-81.75895765472313,1,82.12173466135341,-3.32920640450771,82.82542039142834
23.0,100.0,89.30730196955362,10.69269803044638,2,81.90431152000416,-3.388492427072288,87.85969417762021
26.0,100.0,84.2750724263333,15.724927573666704,3,81.2520420959564,-3.566350494766021,87.85969417762021
