Minute_FT%,Yearly_FT%,Regression_Predicted
72.42614145031334,74.66527864207934,78.26973775783092
73.14814814814815,75.64890078761321,78.42369511428883
77.8814489571899,76.42958748155175,79.43300220529716
77.72901810202963,76.57257688424633,79.40049855737607
77.76517300056722,77.54950078235422,79.40820806009751
78.81656804733727,78.02779074000422,79.63240265895523
78.49106551952349,78.86835940336499,79.56299401101212
81.99052132701422,79.09033099468678,80.30920172179688
79.94214079074253,79.97655054014061,79.8724145654866
82.59587020648968,80.63610692835638,80.43828350663112
82.40574506283662,81.57671805333794,80.3977421036209
81.0379241516966,82.09423698481179,80.10607432239603
78.27868852459017,81.28129509833093,79.51770772653518
77.90697674418605,79.25904882404437,79.43844563208799
81.15942028985508,80.96616716718518,80.13198159487261
78.69822485207101,80.87627274959318,79.607167705384
84.7953216374269,83.0386754937163,80.90728431919997
81.45695364238411,83.08128717769397,80.19542622571994
79.48717948717949,84.64582423349046,79.7754007291922
81.3953488372093,84.61248034976146,80.18228990305387
78.37837837837837,82.99883191343189,79.53896512816445
92.85714285714286,82.48417058532316,82.62634965051323
66.66666666666666,76.326665424842,77.041614092309
87.5,84.49197860962568,81.48401737724419
80.0,81.64208338027208,79.88475219466753
50.0,81.11888111888112,73.48769146436085
66.66666666666666,80.84195385970291,77.041614092309
83.33333333333334,80.33814607987809,80.59553672025714
100.0,86.90368595638371,84.1494593482053
100.0,78.81166073668456,84.1494593482053
100.0,84.35374149659864,84.1494593482053
100.0,81.95834855681403,84.1494593482053
90.0,82.70870664555378,82.0171057714364
50.0,84.54810495626822,73.48769146436085
100.0,88.23529411764706,84.1494593482053
77.77777777777779,84.75609946613638,79.41089584427444
72.72727272727273,73.04924793973726,78.33394959338105
71.42857142857143,66.69095288476257,78.05702055743704
84.61538461538461,75.1559213335788,80.86891538394548
33.33333333333333,70.78993055555556,69.9337688364127
75.0,82.48403345351856,78.81857540628307
66.66666666666666,68.78689370485036,77.041614092309
60.0,68.05720496784262,75.62004504112974
50.0,68.61413595841681,73.48769146436085
50.0,69.79848044985717,73.48769146436085
71.42857142857143,78.8296519156245,78.05702055743704
61.53846153846154,78.35608541221985,75.94809943755573
