Minute,Difference
0,-3.9006501064665287
1,0.23181538041686167
2,-1.2984229390195168
3,-0.11344412189676234
4,-0.16939136976398572
5,-0.8021534378994204
6,2.1837504250588182
7,0.30538077161705246
8,0.20196496158904154
9,-1.3730188201831197
10,1.386367149828601
11,1.4212090101877095
12,0.74134337310376
13,0.5790003577677396
14,-0.07549170758991863
15,0.44526456236977197
16,5.481394887487468
17,-9.78713809421862
18,1.5518240490718966
19,-4.128978294409151
20,-8.653668433683507
21,0.015334116035319312
22,9.138907356442274
23,13.412681364912686
24,8.707745247155103
25,2.4396239912381787
26,22.452229819545707
27,-7.352380798457915
28,2.751062853762491
29,6.453873695934618
30,12.442576925304806
31,-7.882681288385484
32,-14.326742818793448
33,-16.05648510300348
34,19.51018519276012
35,16.666666666666657
36,2.32948086396361
37,-0.09367071686266115
38,3.245221750027241
39,14.921437655469376
40,-5.413526529819151
41,3.167898627243929
42,9.615379637395307
43,4.95210268374025
44,5.904378154762185
45,11.354869816779171
46,25.639788139788138
47,1.3515814996364526
