Minute,Difference
0.0,-2.2894682381961786
1.0,-1.1391386653365174
2.0,-1.263846630987473
3.0,0.9140429985738052
4.0,-1.383997341019736
5.0,0.4532246098556669
6.0,0.25799438171520706
7.0,0.14231621987897825
8.0,2.5652829315626064
9.0,-0.7093336205111029
10.0,0.8043190291689513
11.0,3.100658285564961
12.0,3.0049486736644013
13.0,2.186224393100119
14.0,0.7925421232120442
15.0,-0.6974657487690337
16.0,-0.02233993224260189
17.0,-1.9718430662776285
18.0,2.7302891308856374
19.0,1.9629092340098424
20.0,-5.748296429990404
21.0,2.8014619214481655
22.0,4.699611679646949
23.0,-6.181056131448273
24.0,3.4902134624694554
25.0,-3.949146405035293
26.0,-5.026914438241732
27.0,2.061770910365553
28.0,4.30424391026294
29.0,9.112124906281124
30.0,1.9461327874196002
31.0,3.5276771641691766
32.0,-1.0577503828348256
33.0,2.192728919933657
34.0,4.340150354944214
35.0,-3.728475931898487
36.0,10.721887887892606
37.0,13.073773481892246
38.0,-5.262105186880163
39.0,-4.739093298027399
40.0,27.186983140148996
41.0,-0.6151867471963186
42.0,-0.6202847068802129
43.0,4.783455343686057
44.0,-13.635397862732965
45.0,-5.856444755604102
46.0,3.194906967674271
47.0,-14.130328041691612
48.0,26.0204081632653
52.0,0.39765906362544
